price,propertyType,size,exterior,rooms,bathrooms,address,province,municipality,latitude,longitude,status,newDevelopment,hasLift,priceByArea,hasParkingSpace,isParkingSpaceIncludedInPrice,parkingSpacePrice,groupDescription,typology,subTypology
124000.0,flat,69.0,False,2,1,Calle Perate,Madrid,Getafe,40.3021175,-3.7286902,renew,False,False,1797.0,False,False,,,flat,standardFlat
159000.0,flat,103.0,True,3,2,Calle de Aguilar del Río,Madrid,Madrid,40.3695161,-3.7585057,renew,False,True,1544.0,False,False,,,flat,standardFlat
110500.0,flat,62.0,False,2,1,Calle Gómez de Arteche,Madrid,Madrid,40.3686071,-3.7542217,renew,False,False,1782.0,False,False,,,flat,standardFlat
242000.0,flat,96.0,True,3,2,Avenida de Lisboa,Madrid,Alcorcón,40.3518643,-3.8170947,good,False,True,2521.0,False,False,,Destacado,flat,standardFlat
239900.0,flat,110.0,True,4,2,Calle PORTO COLON,Madrid,Alcorcón,40.3494696,-3.8190419,good,False,True,2181.0,False,False,,,flat,standardFlat
169000.0,flat,104.0,True,3,1,El Naranjo,Madrid,Fuenlabrada,40.2978959,-3.8086071,good,False,True,1625.0,False,False,,Destacado,flat,standardFlat
379000.0,flat,90.0,True,3,2,barrio Prado de Santo Domingo,Madrid,Alcorcón,40.3363846,-3.8253424,good,False,True,4211.0,True,True,,Top,flat,standardFlat
236000.0,flat,105.0,True,4,2,San Isidro,Madrid,Getafe,40.3036658,-3.726983,good,False,True,2248.0,False,False,,Top,flat,standardFlat
135000.0,flat,72.0,True,2,1,barrio Zona Centro Joven,Madrid,Alcorcón,40.3439705,-3.8225392,good,False,True,1875.0,False,False,,Destacado,flat,standardFlat
123000.0,flat,65.0,True,3,1,Plaza Sierra de Gredos,Madrid,Alcorcón,40.346668,-3.8210553,good,False,False,1892.0,False,False,,,flat,standardFlat
120000.0,flat,68.0,True,3,1,Calle de Leganés,Madrid,Fuenlabrada,40.289774,-3.7920075,good,False,False,1765.0,False,False,,,flat,standardFlat
192000.0,flat,98.0,True,3,2,Calle Olivo,Madrid,Getafe,40.3039689,-3.7265537,good,False,True,1959.0,False,False,,,flat,standardFlat
179000.0,flat,84.0,False,3,1,Centro,Madrid,Fuenlabrada,40.2909062,-3.7955109,good,False,True,2131.0,False,False,,Destacado,flat,standardFlat
150000.0,flat,65.0,True,3,1,Extremadura,Madrid,Getafe,40.3146665,-3.7191338,good,False,False,2308.0,False,False,,,flat,standardFlat
202400.0,flat,88.0,False,4,1,barrio Valderas - Los Castillos,Madrid,Alcorcón,40.3557804,-3.8135737,good,False,False,2300.0,False,False,,,flat,standardFlat
254000.0,flat,97.0,True,3,2,barrio Prado de Santo Domingo,Madrid,Alcorcón,40.3303906,-3.8264503,good,False,True,2619.0,True,True,,Destacado,flat,standardFlat
469900.0,chalet,220.0,False,3,4,Getafe norte,Madrid,Getafe,40.320959,-3.7167826,good,False,False,2136.0,True,True,,Destacado,chalet,terracedHouse
168500.0,flat,65.0,True,2,1,LEON,Madrid,Getafe,40.3111879,-3.7208076,good,False,False,2592.0,False,False,,,flat,standardFlat
250000.0,flat,96.0,True,2,2,"Calle san isidro, 12",Madrid,Getafe,40.3044529,-3.7258526,newdevelopment,True,True,2604.0,False,False,,,flat,standardFlat
285000.0,flat,107.0,True,3,2,"Calle san isidro, 12",Madrid,Getafe,40.3044529,-3.7258526,newdevelopment,True,True,2664.0,False,False,,,flat,standardFlat
210000.0,flat,83.0,True,2,2,"Calle san isidro, 12",Madrid,Getafe,40.3044529,-3.7258526,newdevelopment,True,True,2530.0,False,False,,,flat,standardFlat
255000.0,flat,96.0,True,2,2,"Calle san isidro, 12",Madrid,Getafe,40.3044529,-3.7258526,newdevelopment,True,True,2656.0,False,False,,,flat,standardFlat
237000.0,penthouse,72.0,True,1,1,"Calle san isidro, 12",Madrid,Getafe,40.3044529,-3.7258526,newdevelopment,True,True,3292.0,False,False,,,flat,penthouse
270000.0,flat,88.0,True,3,1,Calle Porto Alegre,Madrid,Alcorcón,40.353136,-3.8164061,good,False,True,3068.0,False,False,,Top,flat,standardFlat
125000.0,flat,60.0,True,3,1,la huerta,Madrid,Alcorcón,40.3443041,-3.8227004,renew,False,True,2083.0,False,False,,,flat,standardFlat
139000.0,flat,63.0,True,3,1,Santo Domingo,Madrid,Alcorcón,40.3439657,-3.8228791,good,False,True,2206.0,False,False,,,flat,standardFlat
182000.0,flat,95.0,True,3,1,Plaza ORENSE,Madrid,Fuenlabrada,40.2982117,-3.8095578,good,False,False,1916.0,False,False,,,flat,standardFlat
139900.0,flat,70.0,True,3,1,San Isidro,Madrid,Getafe,40.3006619,-3.7297475,good,False,False,1999.0,False,False,,,flat,standardFlat
270000.0,flat,105.0,True,4,2,Calle Cabo de San Vicente,Madrid,Alcorcón,40.3534618,-3.8161291,good,False,True,2571.0,True,True,,Destacado,flat,standardFlat
390000.0,chalet,168.0,False,4,2,Sector 3,Madrid,Getafe,40.2936516,-3.7402136,good,False,False,2321.0,True,True,,,chalet,terracedHouse
126500.0,flat,61.0,True,3,1,Calle la Huerta,Madrid,Alcorcón,40.3437035,-3.8230432,good,False,True,2074.0,False,False,,,flat,standardFlat
157000.0,flat,105.0,True,3,1,Calle Isabela Saverana,Madrid,Madrid,40.3700918,-3.7599211,good,False,False,1495.0,False,False,,Destacado,flat,standardFlat
175000.0,flat,85.0,True,3,1,El Naranjo,Madrid,Fuenlabrada,40.2983647,-3.8098596,good,False,True,2059.0,False,False,,,flat,standardFlat
135000.0,flat,60.0,True,2,1,de la piña,Madrid,Madrid,40.3695147,-3.7565405,good,False,False,2250.0,False,False,,,flat,standardFlat
250000.0,flat,60.0,True,2,1,Avenida del Euro,Madrid,Madrid,40.3665145,-3.7461599,good,False,True,4167.0,True,True,,Destacado,flat,standardFlat
390000.0,flat,156.0,True,3,2,Calle Príncipe Don Juan Carlos,Madrid,Alcorcón,40.3504217,-3.8189189,good,False,True,2500.0,False,False,,,flat,standardFlat
341000.0,chalet,153.0,False,4,3,Sector 3,Madrid,Getafe,40.2903259,-3.7476551,good,False,False,2229.0,True,True,,,chalet,independantHouse
206000.0,flat,114.0,False,3,1,El Naranjo,Madrid,Fuenlabrada,40.3003165,-3.8124724,good,False,False,1807.0,False,False,,,flat,standardFlat
325000.0,flat,125.0,True,4,2,Plaza Príncipes de España,Madrid,Alcorcón,40.3494874,-3.8196638,good,False,True,2600.0,False,False,,,flat,standardFlat
270000.0,flat,105.0,True,4,2,Avenida Lisboa,Madrid,Alcorcón,40.3532893,-3.8165311,good,False,True,2571.0,False,False,,,flat,standardFlat
209900.0,flat,95.0,True,3,1,Plaza de la Coruña,Madrid,Fuenlabrada,40.2982769,-3.809961,good,False,True,2209.0,False,False,,Destacado,flat,standardFlat
145000.0,flat,71.0,True,3,1,Plaza CADIZ,Madrid,Fuenlabrada,40.2925511,-3.8003305,good,False,True,2042.0,False,False,,,flat,standardFlat
87000.0,flat,65.0,False,3,1,Universidad,Madrid,Getafe,40.3143802,-3.7188081,good,False,False,1338.0,False,False,,,flat,standardFlat
430000.0,chalet,140.0,False,4,2,Sector 3,Madrid,Getafe,40.2921252,-3.7429471,good,False,False,3071.0,True,True,,Destacado,chalet,terracedHouse
179000.0,flat,84.0,True,3,1,Canarias,Madrid,Fuenlabrada,40.2902164,-3.7947142,good,False,True,2131.0,False,False,,,flat,standardFlat
121000.0,flat,62.0,True,2,1,Calle de Polvoranca,Madrid,Madrid,40.3687743,-3.7528011,good,False,False,1952.0,False,False,,Destacado,flat,standardFlat
135000.0,flat,80.0,True,3,1,barrio Zona Centro Joven,Madrid,Alcorcón,40.3442535,-3.8230516,good,False,False,1688.0,True,False,15000.0,Destacado,flat,standardFlat
121000.0,flat,69.0,True,2,1,"Calle San Deogracias, 39",Madrid,Madrid,40.3704363,-3.7606914,good,False,False,1754.0,False,False,,,flat,standardFlat
189000.0,flat,78.0,True,3,1,Avenida de Carabanchel Alto,Madrid,Madrid,40.3691379,-3.7538876,good,False,False,2423.0,False,False,,,flat,standardFlat
239000.0,flat,120.0,True,3,2,barrio Buena Vista,Madrid,Madrid,40.3695742,-3.7557223,good,False,False,1992.0,True,True,,,flat,standardFlat
