,level_0,index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,parkingSpace,highlight,labels,newDevelopmentFinished
10,10,10,101584166,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fc/98/c7/1127002948.jpg,,15,1,134000.0,studio,sale,35.0,True,0,1,"Avenida Vicente Aleixandre, 12",Madrid,Leganés,Centro,es,Casco Antiguo,40.3280684,-3.7680725,True,https://www.idealista.com/inmueble/101584166/,274,"Magnifico estudio recién reformado y amueblado A ESTRENAR! Ubicado en Metro Leganés central, a 500m de la Universidad Carlos III y 50m de la estación de Renfe de Leganés. Próxima a comercios, zona universitaria ayuntamiento. Rodeado de todo tipo de servicios, comercios y zonas de ocio.  La vivienda consta de salón, cama de matrimonio y cocina integrada totalmente a estrenar. Un cuarto de baño completo con plato de ducha. Pintura lisa. Calefacción individual y agua caliente. La finca dispone de ascensor y vídeo vigilancia.",False,good,False,True,3829.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Casco Antiguo, Leganés', 'title': 'Estudio en Avenida Vicente Aleixandre, 12'}",False,False,False,False,False,False,,,,
11,11,11,103053863,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9b/f2/44/1176459144.jpg,7045768-VE,2,2,83800.0,flat,sale,74.0,,3,1,Calle de Extremadura,Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,San Nicasio,40.3306434,-3.7732038,False,https://www.idealista.com/inmueble/103053863/,274,"OPORTUNIDAD DE INVERSIÓN: Este inmueble ha sido adquirido en subasta judicial por el Vendedor no habiéndose tomado la posesión del mismo. Se transmite sin conocerse estado de conservación actual ni su situación ocupacional o arrendaticia. Consúltenos por las condiciones especiales del mismo. No permite visitas físicas al inmueble. Dicha situación ha sido especialmente tenida en cuenta en la fijación del precio.   Se trata de una Vivienda situada en un edificio de cinco alturas sobre rasante, ubicado en la calle Extremadura, en el municipio Leganés, en la provincia de Madrid. El edificio dispone de una cierta antigüedad, por lo que carece de ascensor. La vivienda tiene la siguiente distribución un hall de entrada, que da acceso a una cocina independiente, y un pasillo que distribuye a un salón comedor, varias estancias que se considerarían dormitorios, y un cuarto de baño completo con bañera. Se localiza en una zona consolidada con carácter urbano y residencial, situado a pocos minutos del centro de la población, rodeado por fincas de similares características. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comercial, restaurantes. Cuenta con buenas comunicaciones con el resto de la localidad. Buen acceso a través de carreteras principales que rodea al municipio y lo comunican con el resto de la provincia.",False,good,False,False,1132.0,{'typology': 'flat'},"{'subtitle': 'San Nicasio, Leganés', 'title': 'Piso en Calle de Extremadura'}",False,False,False,False,False,False,,,,
12,12,12,103580665,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/6b/e0/1193960833.jpg,CEDES142,20,4,151500.0,flat,sale,70.0,True,2,1,barrio Descubridores-Escritores,Madrid,Leganés,Centro,es,Descubridores-Escritores,40.3261509,-3.7709469,False,https://www.idealista.com/inmueble/103580665/,284,"TECNOCASA LEGANÉS CENTRO vende piso TOTALEMENTE REFORMADO en Barrio DESCUBRIDORES de Leganés en 4ª planta con ascensor, entrada, salón, cocina, baño y 2 dormitorios (ANTES 3).  Situada muy cerca del casco antiguo de Leganés y del Hospital Severo Ochoa, METROSUR, centro de salud, colegios, comercios y cuenta con todo tipo de servicios a su alrededor. Si desea concertar una visita póngase en contacto con nuestros asesores. Benefíciese de nuestro departamento financiero, hipoteca de hasta el 90% del precio de compra. ¿quiere vender su vivienda y no sabe su valor real? en TECNOCASA valoramos su inmueble de forma gratuita y le asesoramos en el trámite para el cambio de vivienda.  -TECNOCASA, más de 25 años dando el mejor servicio en el barrio.",True,good,False,True,2164.0,{'typology': 'flat'},"{'subtitle': 'Descubridores-Escritores, Leganés', 'title': 'Piso'}",False,False,False,False,False,False,,{'groupDescription': 'Destacado'},,
13,13,13,102675487,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f6/2c/49/1163453413.jpg,PIS0114,18,2,135000.0,flat,sale,57.0,True,3,1,barrio San Nicasio,Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,San Nicasio,40.3312773,-3.7719006,False,https://www.idealista.com/inmueble/102675487/,292,"TREIXER SERVICIOS INMOBILIARIOS pone a la venta vivienda en Leganés. Ubicada en la Calle Rio Jarama en una segunda planta esta vivienda de tres habitaciones, baño, comedor terraza y con ascensor es ideal para. Suelos de parquét, calefacción de gas natural y agua caliente. No dude en solicitar una visita para conocer la vivienda. Leganés es un municipio y una ciudad española que forma parte de la Comunidad de Madrid. Se encuentra dentro del área metropolitana de Madrid y está situada a once kilómetros al sudoeste de la capital. Su población es de 187 720 habitantes (INE 2017), lo que la convierte en la quinta localidad madrileña más poblada y en la trigésimo tercera más grande del país. Está ubicada en una llanura de la Meseta Central de la península ibérica, atravesada por el cauce del arroyo Butarque, afluente del río Manzanares. Limita al norte con los distritos madrileños de Carabanchel y La Latina, al oeste con Alcorcón, al este con Getafe y el distrito de Villaverde, y al sur con Fuenlabrada. [IW].",False,good,False,False,2368.0,{'typology': 'flat'},"{'subtitle': 'San Nicasio, Leganés', 'title': 'Piso'}",False,False,False,False,False,False,,,,
14,14,14,35180583,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a4/24/f4/1087770181.jpg,L122-09,17,4,435000.0,flat,sale,226.0,True,4,3,barrio Casco Antiguo,Madrid,Leganés,Centro,es,Casco Antiguo,40.3276466,-3.7677813,False,https://www.idealista.com/inmueble/35180583/,312,"Piso en casco antigueo de Leganés 226 M2, 4ª planta con ascensor, 4 dormitorios salon independiente de 50 M2, cocina 30 M2, 2 baños y aseo, 2 terrazas, despensa, cuarto de lavado, dispone ademas de calefaccion central, aire acondicionado, 4 armarios empotrados, suelos de parque, carp interior de sapelly, carp exterior aluminio, incluye ademas de trastero, plaza de garaje opcional.",False,good,False,True,1925.0,{'typology': 'flat'},"{'subtitle': 'Casco Antiguo, Leganés', 'title': 'Piso'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 15000.0}",,,
15,15,15,103065474,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/18/0d/1191234720.jpg,,19,bj,136000.0,flat,sale,72.0,True,3,1,Calle rio aragon,Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,San Nicasio,40.3314778,-3.7705987,False,https://www.idealista.com/inmueble/103065474/,313,"INMOBILIARIA EN SAN NICASIO - TECNOCASA ESTUDIO RÍO DUERO S. L ¡No pierdas la oportunidad de adquirir este espectacular piso en venta! Ubicado en la planta baja, cuenta con un amplio patio de 18 metros cuadrados que te permitirá disfrutar de momentos inolvidables al aire libre.  Al ingresar, encontrarás un acogedor salón que te brindará la comodidad que necesitas para relajarte en familia. Además, la vivienda cuenta con una espaciosa cocina, un baño reformado con plato de ducha y tres cómodos dormitorios, todo en perfecto estado. La luminosidad es una de las características más destacadas de este inmueble, gracias a sus ventanas de climalit lacadas en blanco. Además, su calefacción individual de gas natural con caldera marca Saunier Duval te permitirá disfrutar de una temperatura agradable en cualquier época del año. La ubicación de esta vivienda es inmejorable, en una zona tranquila y cerca de metrosur San Nicasio y Renfe Leganés-Central, lo que te permitirá trasladarte con facilidad a cualquier punto de la ciudad. Además, estarás a pocos minutos del centro de Leganés, donde encontrarás una gran variedad de servicios y comercios. Asesoramiento financiero sin compromiso, te ayudamos a conseguir las mejores condiciones con las entidades bancarias.",True,good,False,False,1889.0,{'typology': 'flat'},"{'subtitle': 'San Nicasio, Leganés', 'title': 'Piso en Calle rio aragon'}",True,False,False,False,False,False,,{'groupDescription': 'Destacado'},,
16,16,16,103470249,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/45/1b/82/1190531354.jpg,EMI SALVADOR CEN7,21,bj,160000.0,flat,sale,100.0,False,3,1,barrio Casco Antiguo,Madrid,Leganés,Centro,es,Casco Antiguo,40.3301708,-3.7679559,False,https://www.idealista.com/inmueble/103470249/,319,"HOGARES LEGANÉS PLAZA DEL SALVADOR 4 VENDE: Vivienda ubicada en el CASCO ANTIGUO de Leganés.  Lugar tranquilo y seguro que cuenta con todos los servicios a su alrededor. Desde la RENFE de Leganés central hasta el centro de salud y el Hospital Severo Ochoa, tendrás todo lo que necesitas a un paso de distancia. Además, las líneas de autobuses te permitirán desplazarte cómodamente por la ciudad. La vivienda destaca principalmente por la ubicación en la que se encuentra y las posibilidades que tiene de reforma.  El piso se distribuye en un hall de entrada, cocina, un amplio salón con terraza, tres dormitorios, y un baño completo. En HOGARES, UN NUEVO CONCEPTO DE INMOBILIARIA, te ofrecemos financiación hasta el 100% con nuestro departamento financiero propio (FINANHOGAR). Contacta con nuestros asesores para visitarlo.",True,renew,False,False,1600.0,{'typology': 'flat'},"{'subtitle': 'Casco Antiguo, Leganés', 'title': 'Piso'}",False,False,False,False,False,False,,{'groupDescription': 'Destacado'},,
17,17,17,100181280,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a0/0b/86/1109020298.jpg,LEGANES,20,4,144000.0,flat,sale,60.0,True,3,1,Plaza de la Inmaculada,Madrid,Leganés,Centro,es,Descubridores-Escritores,40.3259927,-3.7726207,False,https://www.idealista.com/inmueble/100181280/,324,"Oportunidad para inversores, vivienda disponible para su compra. Actualmente tiene un inquilino que puede quedarse a seguir viviendo si es una opción para ti como inversor o gestionar su salida de forma programada, si eres particular y deseas vivir en el inmueble. La vivienda se encuentra en una zona urbana de alto valor para obtener alta rentabilidad con su alquiler. Personal Shopper Inmuebles les presenta una propiedad única para obtener máxima rentabilidad para sus ahorros. Gestionamos si es de su interés la reforma del inmueble y su posterior arrendamiento para que su inversión le resulte lo mas cómoda. Nuestro departamento comercial queda a su entera disposición.",True,good,False,True,2400.0,{'typology': 'flat'},"{'subtitle': 'Descubridores-Escritores, Leganés', 'title': 'Piso en Plaza de la Inmaculada'}",True,False,False,False,False,False,,,,
18,18,18,103062528,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f4/be/33/1176777451.jpg,ORDOÑEZ,26,bj,132260.0,flat,sale,60.0,False,2,1,Calle de Ordóñez,Madrid,Leganés,Centro,es,Casco Antiguo,40.3316837,-3.770425,False,https://www.idealista.com/inmueble/103062528/,338,"¡Increíble oportunidad de adquirir tu nuevo hogar en el centro de Leganés! Este acogedor piso de 53 metros útiles se encuentra en la planta baja de un edificio en la Calle De Ordoñez. Con un estado impecable y recientemente reformado, este inmueble te ofrece todas las comodidades que necesitas. Al ingresar, te recibirá un amplio pasillo que conecta todas las estancias de la vivienda. El salón, independiente y luminoso, cuenta con 13 metros cuadrados para que disfrutes de tus momentos de descanso y ocio. La cocina está totalmente equipada, lista para que puedas preparar tus platos favoritos. El piso dispone de 2 dormitorios, perfectos para acoger a tu familia o para utilizar uno de ellos como despacho o sala de estudio. El cuarto de baño cuenta con una ducha y está equipado con calefacción eléctrica para tu mayor confort. Ubicado en la zona de Las Vírgenes, este piso se encuentra rodeado de una gran variedad de comercios y servicios. Además, la estación de cercanías y Renfe están a pocos minutos, facilitando tus desplazamientos. El centro de Leganés se encuentra a tan solo 2 minutos a pie, mientras que la Universidad Carlos III está a solo 5 minutos. La excelente comunicación de esta zona se complementa con la cercanía del metro de Leganés Central, a solo 5 minutos caminando. También podrás acceder a diferentes líneas de autobús, como la 480, 484, 485 y 486 desde Leganés Central, la 497 desde Av. de Fuenlabrada y la 482 desde calle del cobre. No dejes pasar esta oportunidad de tener tu propio hogar en una ubicación privilegiada. ¡Contáctanos ahora y agenda tu visita! Recuerda que este piso se encuentra en la planta baja y no cuenta con ascensor.",True,good,False,False,2204.0,{'typology': 'flat'},"{'subtitle': 'Casco Antiguo, Leganés', 'title': 'Piso en Calle de Ordóñez'}",False,False,False,False,False,False,,{'groupDescription': 'Destacado'},,
19,19,19,102410324,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b1/60/68/1185202372.jpg,4084,15,,492000.0,chalet,sale,339.0,,3,2,barrio Casco Antiguo,Madrid,Leganés,Centro,es,Casco Antiguo,40.3299572,-3.7674573,False,https://www.idealista.com/inmueble/102410324/,346,"OHKey Servicios Inmobiliarios comercializa en pleno casco antiguo de Leganés: EDIFICIO de 339 m2 distribuidos en 2 plantas. Cuenta además con patio trasero.  Es un edificio singular ideal para destinarlo a restauración o a rentabilidad en alquiler, zona muy comercial, la mejor zona peatonal del centro de Leganés con mucho paso de clientes.  La Planta Baja, de 149 m2 consta de una gran sala diáfana con baños y otra sala de 21 m2.  La Primera Planta, de 169 m2, está distribuida en 5 despachos y 2 baños.  GRAN OPORTUNIDAD DE INVERSION  Si tienes interés, muéstranoslo y cuéntanos tu proyecto. Puedes llamarnos al  Un asesor de OH! KEY SERVICIOS INMOBILIARIOS pondrá su experiencia a tu servicio para que tu inversión sea exitosa.  REF. 4084   .",False,good,False,,1451.0,{'typology': 'chalet'},"{'subtitle': 'Casco Antiguo, Leganés', 'title': 'Chalet'}",False,False,False,False,False,False,,,,
