,level_0,index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,parkingSpace,highlight,labels,newDevelopmentFinished
337,337,12,102956919,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/08/6a/84/1173119627.jpg,,28,9,185000.0,flat,sale,86.0,True,3,1,Calle de los Pedroches,Madrid,Leganés,Zarzaquemada,es,Zarzaquemada,40.3361109,-3.7531349,False,https://www.idealista.com/inmueble/102956919/,1738,"Agencia inmobiliaria de LEGANÉS zona ZARZAQUEMADA - MONEGROS Oficina Tecnocasa -TECNOCASA VENDE- Piso en Zona de Zarzaquemada. Completamente exterior, de orientación Sur y muy luminoso. La vivienda consta de 87m2, compuestos por salón, cocina, baño, 3 dormitorios, y una gran terraza. La vivienda está distribuida en 3 dormitorios muy amplios, con armarios empotrados. 1 baño, con plato de ducha. Salón con acceso a una gran terraza exterior, con vistas excepcionales. Cocina grande, con una zona para comer. Equipado con puerta principal blindada, con suelos de parquet y puertas macizas de roble. Ventanas climalit oscilobatientes. Con posibilidad de comprar plaza de garaje, de manera opcional. Barrio ideal para familias con todo tipo de servicios en la zona, comercios de barrio y colegio. Servicios de transporte público: línea de metro Julian Besteiro a 2 minutos a pie y estación de renfe de Zarzaquemada, a menos de 10 minutos. No dude en ponerse en contacto y visitar el inmueble sin compromiso, y si lo precisa, le ofrecemos asesoramiento financiero gratuito con unas inmejorables condiciones hipotecarias. Si esta pensando en un cambio de vivienda también le ofrecemos el servicio de VALORACIÓN GRATUITO. Puede ponerse en contacto con nosotros en el teléfono y WhatsApp: . o al.",False,good,False,True,2151.0,{'typology': 'flat'},"{'subtitle': 'Zarzaquemada, Leganés', 'title': 'Piso en Calle de los Pedroches'}",False,False,False,False,False,False,,,,
338,338,13,103483587,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/12/30/50/1190920187.jpg,LE-MHJ,23,1,189000.0,flat,sale,85.0,True,2,1,barrio Las Dehesillas-Vereda de los Estudiantes,Madrid,Leganés,Las Dehesillas - Vereda de los Estudiantes,es,Las Dehesillas-Vereda de los Estudiantes,40.3192825,-3.7545667,False,https://www.idealista.com/inmueble/103483587/,1756,"¡INCREÍBLE VIVIENDA DE 2 HABITACIONES Y 1 BAÑO EN VEREDA DE LOS ESTUDIANTES! GRUPO INMOBILIARIO TIZONA LEGANÉS, pone a la venta en exclusiva esta maravillosa vivienda en el fantástico barrio de Vereda de los Estudiantes, una de las zonas más demandadas de la ciudad. Se compone de la siguiente manera:  Un Recibidor el cual nos da acceso a un amplio salón independiente con Split inverter y muy luminoso, con salida a la terraza, Cocina muy luminosa con muebles altos y bajos de gran capacidad de almacenamiento además cuenta con una zona destinada a lavadero/tendedero, Baño completo con bañera, Dos dormitorios muy luminosos con sus correspondientes armarios empotrados (El principal con Split inverter).  Cabe destacar que la vivienda cuenta con PLAZA DE GARAJE Y TRASTERO incluido en el precio. En cuanto a los acabados, está todo en perfecto estado (suelo de tarima, puertas roblé, paredes en liso, A/A y calefacción). La zona cuenta con todo tipo de servicios como:  Escuelas infantiles, Colegios, Institutos, Restauración, Entidades bancarias, Ferreterías, tiendas de Alimentación, Zonas verdes, Zonas de deporte gracias a sus pistas de baloncesto y futbol, líneas de autobuses, y a tan solo 5 minutos de los hospitales severo Ochoa y universitario de Getafe. Como una imagen vale más que mil palabras, te invito a que vayamos juntos a ver este maravilloso piso, el cual estoy seguro te va a enamorar. Grupo Tizona va a estar contigo en todo el proceso de compra de tu nuevo hogar. HONORARIOS INCLUIDOS EN EL PRECIO DE VENTA. POSIBILIDAD DE FINANCIAR HASTA EL 100%..",False,good,False,False,2224.0,{'typology': 'flat'},"{'subtitle': 'Las Dehesillas-Vereda de los Estudiantes, Leganés', 'title': 'Piso'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",{'groupDescription': 'Destacado'},,
339,339,14,103365968,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/6f/02/947363721.jpg,4D1,11,1,633696.0,flat,sale,143.0,True,4,2,"Avenida Juan XXIII , 3",Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,Solagua,40.34345,-3.77881,True,https://www.idealista.com/obra-nueva/103365968/,1762,"APROBADA LA LICENCIA DE OBRAS Y FINANCIACIÓN. Préstamo Promotor firmado, financia Ibercaja Construcción iniciada: Dic.2022 Construye ABECONSA. Viviendas de lujo asequible en la zona de mayor crecimiento de Leganés. Una inversión más que rentable. NEXTSolagua es una promoción de 69 viviendas de 1, 2, 3 y 4 dormitorios, con garaje, trastero y terraza, en un residencial cerrado y exclusivo con piscina y unas preciosas zonas ajardinadas. Lujo asequible en su máxima expresión. Solagua, una de las mejores zonas de Leganés. Destinada a convertirse en una de las zonas residenciales más atractivas del sur de Madrid.  Metro, cercanías RENFE, centros de salud, colegios, la Universidad Carlos III y centros comerciales son sólo algunos de los servicios que ya existen en las proximidades de Solagua. Además, esta zona está considerada el motor de Leganés. ¿Sabes que Solagua está entre dos de las áreas industriales y empresariales más emblemáticas de la Comunidad de Madrid? Al oeste, y atravesando la R-5, se encuentra el Polígono Industrial de San José de Valderas que es una de las zonas industriales históricas del municipio. El polígono fue reformado en 2016 y acoge a más de 50 empresas. Al este limita con el parque científico, tecnológico y empresarial Leganés Tecnológico, el más avanzado y especializado de toda la región de Madrid y que cuenta con la colaboración de la Universidad Carlos III. NEXTSolagua, diseño, calidad y precio a tu alcance El edificio tiene un diseño innovador y atemporal. Líneas sencillas, amplias terrazas y atractivos áticos, en un residencial cerrado.  Las viviendas se distribuyen en cuatro plantas más ático a través de diferentes bloques que forman una única unidad. No hay planta baja ya que ésta está destinada a alojar los portales – espaciosos y elegantes así como el acceso a los garajes con las máximas comodidades y plazas grandes. El interior de las viviendas se caracteriza por su distribución inteligente pensada para las familias de hoy en día. Espacios amplios y bien aprovechados, luz natural por todas partes y unos acabados de lujo que podrás escoger entre un selectivo abanico. Nada más entrar en estas viviendas sentirás el sello del lujo asequible y te sentirás en casa desde el primer día.  Todas las terrazas son amplias, pero las de las viviendas de las esquinas son impresionantes Una de las características más destacables de las viviendas del residencial NEXTSolagua son sus terrazas. Estamos hablando de terrazas amplias donde podrás hacer vida con tu familia y disfrutar de estar al aire libre sin salir de casa. Muchas de ellas dan a la parte interior del complejo residencial, es decir, donde están las zonas comunes más importantes como la piscina y los jardines. Si lo que buscas son viviendas con terrazas de gran dimensión, lo encontrarás en las viviendas que rodean las esquinas del edificio. Terraza que va de esquina a esquina de cada casa, todo de corrido y con una gran amplitud.  En NextSolagua encontrarás la vivienda que estás buscando, de calidad, en la mejor zona de Leganés con la garantía de la experiencia de PHOENIX.",False,newdevelopment,True,True,4431.0,{'typology': 'flat'},"{'subtitle': 'Solagua, Leganés', 'title': 'Piso en Avenida Juan Xxiii , 3'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,False
340,340,15,103365960,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4b/fa/3a/947363736.jpg,4D1,11,2,645520.0,flat,sale,143.0,True,4,2,"Avenida Juan XXIII , 3",Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,Solagua,40.34345,-3.77881,True,https://www.idealista.com/obra-nueva/103365960/,1762,"APROBADA LA LICENCIA DE OBRAS Y FINANCIACIÓN. Préstamo Promotor firmado, financia Ibercaja Construcción iniciada: Dic.2022 Construye ABECONSA. Viviendas de lujo asequible en la zona de mayor crecimiento de Leganés. Una inversión más que rentable. NEXTSolagua es una promoción de 69 viviendas de 1, 2, 3 y 4 dormitorios, con garaje, trastero y terraza, en un residencial cerrado y exclusivo con piscina y unas preciosas zonas ajardinadas. Lujo asequible en su máxima expresión. Solagua, una de las mejores zonas de Leganés. Destinada a convertirse en una de las zonas residenciales más atractivas del sur de Madrid.  Metro, cercanías RENFE, centros de salud, colegios, la Universidad Carlos III y centros comerciales son sólo algunos de los servicios que ya existen en las proximidades de Solagua. Además, esta zona está considerada el motor de Leganés. ¿Sabes que Solagua está entre dos de las áreas industriales y empresariales más emblemáticas de la Comunidad de Madrid? Al oeste, y atravesando la R-5, se encuentra el Polígono Industrial de San José de Valderas que es una de las zonas industriales históricas del municipio. El polígono fue reformado en 2016 y acoge a más de 50 empresas. Al este limita con el parque científico, tecnológico y empresarial Leganés Tecnológico, el más avanzado y especializado de toda la región de Madrid y que cuenta con la colaboración de la Universidad Carlos III. NEXTSolagua, diseño, calidad y precio a tu alcance El edificio tiene un diseño innovador y atemporal. Líneas sencillas, amplias terrazas y atractivos áticos, en un residencial cerrado.  Las viviendas se distribuyen en cuatro plantas más ático a través de diferentes bloques que forman una única unidad. No hay planta baja ya que ésta está destinada a alojar los portales – espaciosos y elegantes así como el acceso a los garajes con las máximas comodidades y plazas grandes. El interior de las viviendas se caracteriza por su distribución inteligente pensada para las familias de hoy en día. Espacios amplios y bien aprovechados, luz natural por todas partes y unos acabados de lujo que podrás escoger entre un selectivo abanico. Nada más entrar en estas viviendas sentirás el sello del lujo asequible y te sentirás en casa desde el primer día.  Todas las terrazas son amplias, pero las de las viviendas de las esquinas son impresionantes Una de las características más destacables de las viviendas del residencial NEXTSolagua son sus terrazas. Estamos hablando de terrazas amplias donde podrás hacer vida con tu familia y disfrutar de estar al aire libre sin salir de casa. Muchas de ellas dan a la parte interior del complejo residencial, es decir, donde están las zonas comunes más importantes como la piscina y los jardines. Si lo que buscas son viviendas con terrazas de gran dimensión, lo encontrarás en las viviendas que rodean las esquinas del edificio. Terraza que va de esquina a esquina de cada casa, todo de corrido y con una gran amplitud.  En NextSolagua encontrarás la vivienda que estás buscando, de calidad, en la mejor zona de Leganés con la garantía de la experiencia de PHOENIX.",False,newdevelopment,True,True,4514.0,{'typology': 'flat'},"{'subtitle': 'Solagua, Leganés', 'title': 'Piso en Avenida Juan Xxiii , 3'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,False
341,341,16,98474257,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/f0/d2/947363722.jpg,3D1-2,11,1,367015.0,flat,sale,118.0,True,3,2,"Avenida Juan XXIII , 3",Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,Solagua,40.34345,-3.77881,True,https://www.idealista.com/obra-nueva/98474257/,1762,"APROBADA LA LICENCIA DE OBRAS Y FINANCIACIÓN. Préstamo Promotor firmado, financia Ibercaja Construcción iniciada: Dic.2022 Construye ABECONSA. Viviendas de lujo asequible en la zona de mayor crecimiento de Leganés. Una inversión más que rentable. NEXTSolagua es una promoción de 69 viviendas de 1, 2, 3 y 4 dormitorios, con garaje, trastero y terraza, en un residencial cerrado y exclusivo con piscina y unas preciosas zonas ajardinadas. Lujo asequible en su máxima expresión. Solagua, una de las mejores zonas de Leganés. Destinada a convertirse en una de las zonas residenciales más atractivas del sur de Madrid.  Metro, cercanías RENFE, centros de salud, colegios, la Universidad Carlos III y centros comerciales son sólo algunos de los servicios que ya existen en las proximidades de Solagua. Además, esta zona está considerada el motor de Leganés. ¿Sabes que Solagua está entre dos de las áreas industriales y empresariales más emblemáticas de la Comunidad de Madrid? Al oeste, y atravesando la R-5, se encuentra el Polígono Industrial de San José de Valderas que es una de las zonas industriales históricas del municipio. El polígono fue reformado en 2016 y acoge a más de 50 empresas. Al este limita con el parque científico, tecnológico y empresarial Leganés Tecnológico, el más avanzado y especializado de toda la región de Madrid y que cuenta con la colaboración de la Universidad Carlos III. NEXTSolagua, diseño, calidad y precio a tu alcance El edificio tiene un diseño innovador y atemporal. Líneas sencillas, amplias terrazas y atractivos áticos, en un residencial cerrado.  Las viviendas se distribuyen en cuatro plantas más ático a través de diferentes bloques que forman una única unidad. No hay planta baja ya que ésta está destinada a alojar los portales – espaciosos y elegantes así como el acceso a los garajes con las máximas comodidades y plazas grandes. El interior de las viviendas se caracteriza por su distribución inteligente pensada para las familias de hoy en día. Espacios amplios y bien aprovechados, luz natural por todas partes y unos acabados de lujo que podrás escoger entre un selectivo abanico. Nada más entrar en estas viviendas sentirás el sello del lujo asequible y te sentirás en casa desde el primer día.  Todas las terrazas son amplias, pero las de las viviendas de las esquinas son impresionantes Una de las características más destacables de las viviendas del residencial NEXTSolagua son sus terrazas. Estamos hablando de terrazas amplias donde podrás hacer vida con tu familia y disfrutar de estar al aire libre sin salir de casa. Muchas de ellas dan a la parte interior del complejo residencial, es decir, donde están las zonas comunes más importantes como la piscina y los jardines. Si lo que buscas son viviendas con terrazas de gran dimensión, lo encontrarás en las viviendas que rodean las esquinas del edificio. Terraza que va de esquina a esquina de cada casa, todo de corrido y con una gran amplitud.  En NextSolagua encontrarás la vivienda que estás buscando, de calidad, en la mejor zona de Leganés con la garantía de la experiencia de PHOENIX.",False,newdevelopment,True,True,3110.0,{'typology': 'flat'},"{'subtitle': 'Solagua, Leganés', 'title': 'Piso en Avenida Juan Xxiii , 3'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,False
342,342,17,98474259,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/6f/02/947363721.jpg,3D2,11,1,371378.0,flat,sale,119.0,True,3,2,"Avenida Juan XXIII , 3",Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,Solagua,40.34345,-3.77881,True,https://www.idealista.com/obra-nueva/98474259/,1762,"APROBADA LA LICENCIA DE OBRAS Y FINANCIACIÓN. Préstamo Promotor firmado, financia Ibercaja Construcción iniciada: Dic.2022 Construye ABECONSA. Viviendas de lujo asequible en la zona de mayor crecimiento de Leganés. Una inversión más que rentable. NEXTSolagua es una promoción de 69 viviendas de 1, 2, 3 y 4 dormitorios, con garaje, trastero y terraza, en un residencial cerrado y exclusivo con piscina y unas preciosas zonas ajardinadas. Lujo asequible en su máxima expresión. Solagua, una de las mejores zonas de Leganés. Destinada a convertirse en una de las zonas residenciales más atractivas del sur de Madrid.  Metro, cercanías RENFE, centros de salud, colegios, la Universidad Carlos III y centros comerciales son sólo algunos de los servicios que ya existen en las proximidades de Solagua. Además, esta zona está considerada el motor de Leganés. ¿Sabes que Solagua está entre dos de las áreas industriales y empresariales más emblemáticas de la Comunidad de Madrid? Al oeste, y atravesando la R-5, se encuentra el Polígono Industrial de San José de Valderas que es una de las zonas industriales históricas del municipio. El polígono fue reformado en 2016 y acoge a más de 50 empresas. Al este limita con el parque científico, tecnológico y empresarial Leganés Tecnológico, el más avanzado y especializado de toda la región de Madrid y que cuenta con la colaboración de la Universidad Carlos III. NEXTSolagua, diseño, calidad y precio a tu alcance El edificio tiene un diseño innovador y atemporal. Líneas sencillas, amplias terrazas y atractivos áticos, en un residencial cerrado.  Las viviendas se distribuyen en cuatro plantas más ático a través de diferentes bloques que forman una única unidad. No hay planta baja ya que ésta está destinada a alojar los portales – espaciosos y elegantes así como el acceso a los garajes con las máximas comodidades y plazas grandes. El interior de las viviendas se caracteriza por su distribución inteligente pensada para las familias de hoy en día. Espacios amplios y bien aprovechados, luz natural por todas partes y unos acabados de lujo que podrás escoger entre un selectivo abanico. Nada más entrar en estas viviendas sentirás el sello del lujo asequible y te sentirás en casa desde el primer día.  Todas las terrazas son amplias, pero las de las viviendas de las esquinas son impresionantes Una de las características más destacables de las viviendas del residencial NEXTSolagua son sus terrazas. Estamos hablando de terrazas amplias donde podrás hacer vida con tu familia y disfrutar de estar al aire libre sin salir de casa. Muchas de ellas dan a la parte interior del complejo residencial, es decir, donde están las zonas comunes más importantes como la piscina y los jardines. Si lo que buscas son viviendas con terrazas de gran dimensión, lo encontrarás en las viviendas que rodean las esquinas del edificio. Terraza que va de esquina a esquina de cada casa, todo de corrido y con una gran amplitud.  En NextSolagua encontrarás la vivienda que estás buscando, de calidad, en la mejor zona de Leganés con la garantía de la experiencia de PHOENIX.",False,newdevelopment,True,True,3121.0,{'typology': 'flat'},"{'subtitle': 'Solagua, Leganés', 'title': 'Piso en Avenida Juan Xxiii , 3'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,False
343,343,18,98474260,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/c5/fe/947363739.jpg,3D4,11,,436699.0,penthouse,sale,89.0,True,3,2,"Avenida Juan XXIII , 3",Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,Solagua,40.34345,-3.77881,True,https://www.idealista.com/obra-nueva/98474260/,1762,"APROBADA LA LICENCIA DE OBRAS Y FINANCIACIÓN. Préstamo Promotor firmado, financia Ibercaja Construcción iniciada: Dic.2022 Construye ABECONSA. Viviendas de lujo asequible en la zona de mayor crecimiento de Leganés. Una inversión más que rentable. NEXTSolagua es una promoción de 69 viviendas de 1, 2, 3 y 4 dormitorios, con garaje, trastero y terraza, en un residencial cerrado y exclusivo con piscina y unas preciosas zonas ajardinadas. Lujo asequible en su máxima expresión. Solagua, una de las mejores zonas de Leganés. Destinada a convertirse en una de las zonas residenciales más atractivas del sur de Madrid.  Metro, cercanías RENFE, centros de salud, colegios, la Universidad Carlos III y centros comerciales son sólo algunos de los servicios que ya existen en las proximidades de Solagua. Además, esta zona está considerada el motor de Leganés. ¿Sabes que Solagua está entre dos de las áreas industriales y empresariales más emblemáticas de la Comunidad de Madrid? Al oeste, y atravesando la R-5, se encuentra el Polígono Industrial de San José de Valderas que es una de las zonas industriales históricas del municipio. El polígono fue reformado en 2016 y acoge a más de 50 empresas. Al este limita con el parque científico, tecnológico y empresarial Leganés Tecnológico, el más avanzado y especializado de toda la región de Madrid y que cuenta con la colaboración de la Universidad Carlos III. NEXTSolagua, diseño, calidad y precio a tu alcance El edificio tiene un diseño innovador y atemporal. Líneas sencillas, amplias terrazas y atractivos áticos, en un residencial cerrado.  Las viviendas se distribuyen en cuatro plantas más ático a través de diferentes bloques que forman una única unidad. No hay planta baja ya que ésta está destinada a alojar los portales – espaciosos y elegantes así como el acceso a los garajes con las máximas comodidades y plazas grandes. El interior de las viviendas se caracteriza por su distribución inteligente pensada para las familias de hoy en día. Espacios amplios y bien aprovechados, luz natural por todas partes y unos acabados de lujo que podrás escoger entre un selectivo abanico. Nada más entrar en estas viviendas sentirás el sello del lujo asequible y te sentirás en casa desde el primer día.  Todas las terrazas son amplias, pero las de las viviendas de las esquinas son impresionantes Una de las características más destacables de las viviendas del residencial NEXTSolagua son sus terrazas. Estamos hablando de terrazas amplias donde podrás hacer vida con tu familia y disfrutar de estar al aire libre sin salir de casa. Muchas de ellas dan a la parte interior del complejo residencial, es decir, donde están las zonas comunes más importantes como la piscina y los jardines. Si lo que buscas son viviendas con terrazas de gran dimensión, lo encontrarás en las viviendas que rodean las esquinas del edificio. Terraza que va de esquina a esquina de cada casa, todo de corrido y con una gran amplitud.  En NextSolagua encontrarás la vivienda que estás buscando, de calidad, en la mejor zona de Leganés con la garantía de la experiencia de PHOENIX.",False,newdevelopment,True,True,4907.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Solagua, Leganés', 'title': 'Ático en Avenida Juan Xxiii , 3'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,False
344,344,19,103365990,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4b/fa/3a/947363736.jpg,3D5,11,,498691.0,penthouse,sale,87.0,True,3,3,"Avenida Juan XXIII , 3",Madrid,Leganés,San Nicasio - Campo de Tiro - Solagua,es,Solagua,40.34345,-3.77881,True,https://www.idealista.com/obra-nueva/103365990/,1762,"Viviendas de lujo asequible en la zona de mayor crecimiento de Leganés. Una inversión más que rentable. NEXTSolagua es una promoción de 69 viviendas de 1, 2, 3 y 4 dormitorios, con garaje, trastero y terraza, en un residencial cerrado y exclusivo con piscina y unas preciosas zonas ajardinadas. Lujo asequible en su máxima expresión. Solagua, una de las mejores zonas de Leganés. Destinada a convertirse en una de las zonas residenciales más atractivas del sur de Madrid.  Metro, cercanías RENFE, centros de salud, colegios, la Universidad Carlos III y centros comerciales son sólo algunos de los servicios que ya existen en las proximidades de Solagua. Además, esta zona está considerada el motor de Leganés. ¿Sabes que Solagua está entre dos de las áreas industriales y empresariales más emblemáticas de la Comunidad de Madrid? Al oeste, y atravesando la R-5, se encuentra el Polígono Industrial de San José de Valderas que es una de las zonas industriales históricas del municipio. El polígono fue reformado en 2016 y acoge a más de 50 empresas. Al este limita con el parque científico, tecnológico y empresarial Leganés Tecnológico, el más avanzado y especializado de toda la región de Madrid y que cuenta con la colaboración de la Universidad Carlos III. NEXTSolagua, diseño, calidad y precio a tu alcance El edificio tiene un diseño innovador y atemporal. Líneas sencillas, amplias terrazas y atractivos áticos, en un residencial cerrado.  Las viviendas se distribuyen en cuatro plantas más ático a través de diferentes bloques que forman una única unidad. No hay planta baja ya que ésta está destinada a alojar los portales – espaciosos y elegantes así como el acceso a los garajes con las máximas comodidades y plazas grandes. El interior de las viviendas se caracteriza por su distribución inteligente pensada para las familias de hoy en día. Espacios amplios y bien aprovechados, luz natural por todas partes y unos acabados de lujo que podrás escoger entre un selectivo abanico. Nada más entrar en estas viviendas sentirás el sello del lujo asequible y te sentirás en casa desde el primer día.  Todas las terrazas son amplias, pero las de las viviendas de las esquinas son impresionantes Una de las características más destacables de las viviendas del residencial NEXTSolagua son sus terrazas. Estamos hablando de terrazas amplias donde podrás hacer vida con tu familia y disfrutar de estar al aire libre sin salir de casa. Muchas de ellas dan a la parte interior del complejo residencial, es decir, donde están las zonas comunes más importantes como la piscina y los jardines. Si lo que buscas son viviendas con terrazas de gran dimensión, lo encontrarás en las viviendas que rodean las esquinas del edificio. Terraza que va de esquina a esquina de cada casa, todo de corrido y con una gran amplitud.  En NextSolagua encontrarás la vivienda que estás buscando, de calidad, en la mejor zona de Leganés con la garantía de la experiencia de PHOENIX.",False,newdevelopment,True,True,5732.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Solagua, Leganés', 'title': 'Ático en Avenida Juan Xxiii , 3'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,False
345,345,20,103356062,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1a/2c/dc/1186929133.jpg,RIOJA N,22,6,179900.0,flat,sale,72.0,True,3,1,bureba s/n,Madrid,Leganés,Zarzaquemada,es,Zarzaquemada,40.3331841,-3.7511087,True,https://www.idealista.com/inmueble/103356062/,1774,"HOGARES LEGANÉS pone a la venta en exclusiva este piso para reformar, a escasos minutos del centro de Leganés, con acceso inmediato a todos los servicios y las principales carreteras de la comunidad de Madrid. La vivienda se encuentra en el barrio de Zarzaquemada, junto a colegios, institutos, parques infantiles y parada de metro Julián Besteiro. Este vivienda de 72 m2 construidos, cuenta con 3 dormitorios, un baño completo, cocina con terraza. Además de un salón-comedor muy luminoso con salida a amplia terraza con una orientación inmejorable.  Benefíciese de nuestro método de trabajo. Gestionamos la venta de su vivienda, encadenamos todos los plazos, contratos, documentación para escritura pública. Consúltenos sin compromiso. POSIBILIDAD DE HIPOTECAS 100% ESTUDIO DE FINANCIACIÓN GRATUITO CONSÚLTENOS Y CONCIERTE SU VISITA. PRECIO 179.900€. Asesor responsable: Noelia. TLF 651_692_815.",True,good,False,True,2499.0,{'typology': 'flat'},"{'subtitle': 'Zarzaquemada, Leganés', 'title': 'Piso en bureba s/n'}",False,False,False,False,False,False,,{'groupDescription': 'Destacado'},,
346,346,21,102904086,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ce/ac/3d/1171280674.jpg,0384-L,25,4,190000.0,flat,sale,80.0,True,3,1,Calle de la Sagra,Madrid,Leganés,Zarzaquemada,es,Zarzaquemada,40.3337379,-3.7512814,False,https://www.idealista.com/inmueble/102904086/,1778,"Este es el piso que estabas buscando LUMINOSO, en una zona bien comunicada, donde disfrutarás de todas las comodidades que necesitas y que te harán la vida mucho más fácil. MORNINGSIDE & ASOCIADOS Vende Luminoso piso en calle LA SAGRA, 4ª planta exterior con ascensor. 80,79 m² construidos, en buen estado de conservación. 3 dormitorios, salón comedor independiente con salida a terraza, cocina amueblada. baño completo con plato de ducha. Gas natural. 100€ de comunidad que incluye el agua. El edificio cuenta con un amplio portal, rampa de acceso y ascensor. Zona tranquila con buena comunicación de metro (Julian Besteiro, comercios, farmacias, colegios, guarderías, supermercados, zonas verdes. Centros comerciales, etc Nosotros queremos enseñártelo, si tú quieres solo tienes que LLAMARNOS.",True,good,False,True,2375.0,{'typology': 'flat'},"{'subtitle': 'Zarzaquemada, Leganés', 'title': 'Piso en Calle de la Sagra'}",False,False,False,False,False,False,,,,
347,347,22,103311294,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cf/18/ef/1185397627.jpg,CH-19803-0001,21,,161000.0,flat,sale,71.0,,3,1,Calle de los Monegros,Madrid,Leganés,Zarzaquemada,es,Zarzaquemada,40.337327,-3.7534957,False,https://www.idealista.com/inmueble/103311294/,1780,"Hannan-Piper Real Estate presenta una excelente oportunidad para adquirir en propiedad este piso en venta situado en la localidad de Leganés, Madrid.  Cuenta con una superficie de 71 m² y se compone de salón-comedor, cocina amueblada y equipada con horno, placa vitrocerámica y extractor de humos, 3 dormitorios y 1 baño. Está emplazado en la zona norte, próximo al Parque La Chopera y cerca de la estación de metro Julián Besteiro.  Dispone de buen acceso rodado desde la carretera M-425 y a pocos metros tiene la parada de autobús denominada Monegros-Colegio, donde tienen disponibles las líneas 1, 483, 484 y 497. Con nuestros servicios podrá encontrar la vivienda que necesita. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. En Hannan-Piper Real Estate contamos con expertos inmobiliarios con más de 25 años de experiencia en el sector y la zona, que te ayudarán, guiarán y asesorarán para que el proceso de compra sea uno agradable, rápido y sencillo. INFORMACIÓN IMPORTANTE: Debido a que esta propiedad proviene de un fondo de restructuración bancaria la información descrita en este anuncio puede contener errores tanto en su descripción cómo en el precio; por ello la información aquí contenida no tiene carácter vinculante, debiendo la parte interesada buscar información complementaria. El anunciante no se responsabiliza de su contenido. Solicite más información sin compromiso.",True,good,False,,2268.0,{'typology': 'flat'},"{'subtitle': 'Zarzaquemada, Leganés', 'title': 'Piso en Calle de los Monegros'}",True,False,False,False,False,False,,,,
348,348,23,99830217,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9b/da/75/1073211498.jpg,A0-19803-0001,21,bj,161000.0,flat,sale,70.0,,3,1,barrio Zarzaquemada,Madrid,Leganés,Zarzaquemada,es,Zarzaquemada,40.3368693,-3.7530982,False,https://www.idealista.com/inmueble/99830217/,1783,"Piso en venta situado en la localidad de Leganés, Madrid. Cuenta con una superficie de 71 m² y se compone de salón-comedor, cocina amueblada y equipada con horno, placa vitrocerámica y extractor de humos, 3 dormitorios y 1 baño. Está emplazado en la zona norte, próximo al Parque La Chopera y cerca de la estación de metro Julián Besteiro. Dispone de buen acceso rodado desde la carretera M-425 y a pocos metros tiene la parada de autobús denominada Monegros-Colegio, donde tienen disponibles las líneas 1, 483, 484 y 497. Con nuestros servicios podrá encontrar la vivienda que necesita. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente.",False,good,False,True,2300.0,{'typology': 'flat'},"{'subtitle': 'Zarzaquemada, Leganés', 'title': 'Piso'}",False,False,True,False,False,False,,,,
