,price,propertyType,size,exterior,rooms,bathrooms,address,province,municipality,latitude,longitude,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,highlight
1299,205000.0,duplex,142.0,True,3,3,Paseo del Prado,Madrid,Valdemoro,40.1905754,-3.6701939,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1444.0,"{'typology': 'flat', 'subTypology': 'duplex'}",False
1300,99000.0,flat,20.0,False,1,1,Calle del Amparo,Madrid,Madrid,40.4088763,-3.7033724,renew,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",4950.0,{'typology': 'flat'},False
1301,459000.0,chalet,239.0,False,4,3,Calle Humanes de Mohernando,Guadalajara,Guadalajara,40.6228216,-3.1551914,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1921.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False
1302,149990.0,flat,79.0,True,3,1,Calle ciudad real s/n,Madrid,Parla,40.2416352,-3.7664171,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",1899.0,{'typology': 'flat'},False
1303,395000.0,chalet,260.0,False,4,3,Avenida Mataelpino,Madrid,Manzanares el Real,40.721374,-3.9487804,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1519.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1304,339000.0,penthouse,84.0,True,1,1,"Calle Voluntarios Catalanes , 3",Madrid,Madrid,40.4647089,-3.6990327,newdevelopment,True,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",4036.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",False
1305,370000.0,flat,103.0,True,3,2,VALDESANGIL,Madrid,Madrid,40.4662385,-3.7163016,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",3592.0,{'typology': 'flat'},False
1306,510000.0,chalet,346.0,False,6,2,Calle Nvacerrada,Madrid,Cerceda,40.7012046,-3.9284212,renew,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",1474.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1307,299000.0,flat,63.0,True,2,1,Calle del Valle de Pinares Llanos,Madrid,Madrid,40.4866116,-3.726522,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",4746.0,{'typology': 'flat'},False
1308,545000.0,flat,123.0,True,3,2,barrio Nueva España,Madrid,Madrid,40.4600313,-3.6731486,renew,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",4431.0,{'typology': 'flat'},False
1309,650000.0,flat,87.0,False,2,2,barrio Lista,Madrid,Madrid,40.4305331,-3.6778507,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",7471.0,{'typology': 'flat'},False
1310,79900.0,flat,126.0,True,4,2,Padilla,Toledo,Fuensalida,40.050802,-4.2104172,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",634.0,{'typology': 'flat'},False
1311,365000.0,flat,57.0,True,1,1,Calle de la Cruz,Madrid,Madrid,40.4135874,-3.7033345,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",6404.0,{'typology': 'flat'},False
1312,169000.0,flat,82.0,True,2,1,Virgen de Lourdes,Madrid,Madrid,40.4351616,-3.6560301,good,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2061.0,{'typology': 'flat'},False
1313,255000.0,flat,95.0,True,3,1,Calle de Virgen del Portillo,Madrid,Madrid,40.4383135,-3.6525138,renew,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2684.0,{'typology': 'flat'},False
1314,1199000.0,chalet,571.0,False,6,7,VALLE TENA,Madrid,Boadilla del Monte,40.4302621,-3.8974816,good,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True, 'parkingSpacePrice': None}",2100.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False
1315,259000.0,flat,91.0,True,3,2,Calle del Fuego,Madrid,Alcobendas,40.5439893,-3.6334648,good,False,True,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",2846.0,{'typology': 'flat'},False
1316,160000.0,penthouse,45.0,True,1,1,Ebro,Madrid,Las Rozas de Madrid,40.4921889,-3.8752691,renew,False,False,"{'hasParkingSpace': False, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': None}",3556.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",False
1317,244000.0,flat,70.0,True,2,1,Calle Vinegra,Madrid,Madrid,40.4016704,-3.7374176,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 16000.0}",3486.0,{'typology': 'flat'},False
